,No Strategy
0,56.3636
1,51.3636
2,47.8395
3,46.9767
4,47.3978
5,47.6852
6,48.1579
7,47.5862
8,48.6708
9,48.0699
10,46.3211
11,47.3966
12,48.6601
13,48.0341
14,48.2274
15,48.627
16,48.4392
17,48.7271
18,48.65
19,48.5321
20,48.3829
21,47.7045
22,48.3652
23,48.7013
24,48.6427
25,48.5523
26,48.7084
27,49.4758
28,49.6205
29,49.4502
30,49.2026
31,49.3707
32,49.0571
33,48.8153
34,48.8749
35,48.4748
36,48.7135
37,48.2892
38,48.1455
39,48.4211
40,48.683
41,48.9983
42,48.8936
43,48.8769
44,49.1456
45,49.6817
46,49.7857
47,49.9237
48,49.9066
49,50.1099
50,49.7845
51,49.6654
52,49.8445
53,49.5254
54,49.4008
55,49.6895
56,50.0
57,50.2838
58,50.031
59,49.9848
60,50.1948
61,49.9263
62,49.8548
63,49.7714
64,49.6061
65,49.5429
66,49.6452
67,49.4491
68,49.4309
69,49.2043
70,49.177
71,49.0865
72,48.9865
73,48.9872
74,48.7808
75,49.0739
76,49.0857
77,49.0155
78,49.1204
79,49.1657
80,49.1986
81,49.0743
82,49.1955
83,49.2921
84,48.9882
85,49.0215
86,49.1062
87,48.9603
88,49.0952
89,48.9833
90,49.1154
91,49.2442
92,49.1636
93,49.095
94,49.0468
95,48.8474
96,49.0481
97,48.9644
98,48.8082
99,48.7829
100,48.967
101,49.0578
102,49.3426
103,49.4366
104,49.5031
105,49.4646
106,49.4525
107,49.517
108,49.5635
109,49.5674
110,49.4641
111,49.4117
112,49.3925
113,49.3736
114,49.3392
115,49.4159
116,49.4836
117,49.3716
118,49.2618
119,49.1688
120,49.1907
121,49.3173
122,49.4568
123,49.5055
124,49.5167
125,49.615
126,49.6107
127,49.6066
128,49.5315
129,49.5351
130,49.5805
131,49.5074
132,49.6075
133,49.549
134,49.6134
135,49.65
136,49.6592
137,49.5754
138,49.6576
139,49.6731
140,49.5911
141,49.5423
142,49.6352
143,49.7585
144,49.7035
145,49.5863
146,49.6327
147,49.697
148,49.6499
149,49.6645
150,49.6364
151,49.6147
152,49.5335
153,49.5247
154,49.5751
155,49.5895
156,49.5805
157,49.5832
158,49.557
159,49.6054
160,49.5851
161,49.5369
162,49.6072
163,49.6096
164,49.6343
165,49.6309
166,49.7317
167,49.7116
168,49.7728
169,49.7633
170,49.8235
171,49.8884
172,49.9471
173,49.9264
174,49.9634
175,49.9688
