,K-O,Hi-Lo,Hi-Opt I,Hi-Opt II,Knock-Out,KISS,Zen,Omega II,Red 7,Wizard Ace,Halves,No Strategy
0,42.5926,54.4643,70.1754,43.6364,42.5926,34.5455,43.6364,66.6667,53.7736,46.2264,64.5455,41.6667
1,43.5185,55.3571,59.009,52.2523,43.578,44.0367,58.5586,48.6486,48.1132,48.1308,55.9633,49.0741
2,46.0123,57.4405,54.5455,55.7229,44.2424,42.378,54.5181,49.1018,45.9627,47.8528,51.8293,46.9325
3,49.0868,59.5982,54.2601,48.4091,47.973,46.1364,57.0136,53.1674,50.9302,47.032,52.9954,48.8532
4,50.1818,61.6487,48.3813,44.8718,47.2826,49.2754,54.9091,54.4964,52.5735,50.5455,51.1029,52.7372
5,52.8614,58.5329,46.8278,48.0183,47.4398,50.3021,54.8338,56.4565,50.7669,48.1763,50.0,51.8237
6,51.6796,59.6401,47.5389,48.1675,50.3886,49.7396,54.6632,55.0129,50.6596,50.1309,47.2441,51.0417
7,51.8059,56.5315,47.9499,46.6819,50.5682,51.8182,54.5455,55.4054,48.9655,49.656,46.6819,52.3918
8,50.6024,54.4266,47.5659,50.5071,49.496,50.8114,54.4534,54.2084,47.9592,50.0,48.1744,52.6263
9,50.7246,53.8949,47.5365,51.0036,48.1785,52.011,54.4545,55.2347,48.0769,50.6434,50.365,52.6364
10,51.0726,55.3279,47.5124,50.1656,48.6755,51.3311,56.1056,54.8361,49.2525,49.3322,51.9835,54.703
11,50.0758,53.6898,48.5584,50.4539,49.0166,52.207,56.2027,54.812,49.0909,49.0061,52.8073,54.0909
12,49.7203,53.4123,50.4902,50.3497,48.4658,52.0423,56.6341,55.5014,48.7395,48.1612,52.3109,53.9916
13,49.2208,53.048,51.3672,51.297,47.6654,52.1625,56.1688,54.4099,50.13,48.4888,52.7995,52.9909
14,49.1515,53.5758,52.3086,51.0303,47.9469,52.1978,55.0242,53.6925,49.7576,49.4492,52.8519,52.5485
15,49.3757,52.9545,52.7335,49.9431,48.4677,52.2936,54.4268,52.3837,50.3973,49.7133,53.5227,52.6136
16,50.2134,53.1016,53.1652,48.9293,47.9144,52.2114,54.2246,52.1902,50.3209,49.4606,52.8908,52.409
17,49.9495,53.3367,52.5381,49.4439,48.0303,54.1159,54.1414,52.8759,49.1388,49.8471,52.834,53.2861
18,50.0,54.1667,51.1058,50.1916,47.4163,53.128,53.0622,52.1012,50.048,50.1931,52.9243,53.1579
19,48.8636,53.6852,50.3199,49.5905,47.4977,52.6557,52.5886,51.2262,49.1348,49.6789,52.4135,53.0909
20,49.0043,53.29,50.8696,48.4402,47.3616,52.3084,52.8979,52.2472,49.4796,49.5197,52.5608,53.1602
21,48.9669,53.1818,51.4511,47.8477,47.853,51.6667,52.7273,52.0215,49.3377,48.6656,51.904,53.2258
22,49.2101,53.2411,51.5873,48.1775,48.817,51.5949,52.8085,53.0781,49.3275,48.8019,51.9794,52.8504
23,49.2436,53.2955,51.2548,47.9103,49.0552,51.2595,52.9145,52.536,49.053,48.9305,51.4438,53.8316
24,49.4553,52.6182,51.6411,48.4318,49.0566,51.5007,52.6929,52.8706,49.0189,49.7801,50.7305,53.7145
25,49.3719,52.5892,51.5088,47.9663,48.6043,51.3028,52.1724,53.1774,48.8137,50.6342,49.9649,53.2235
26,49.4284,52.7628,50.9128,48.7171,48.655,51.2203,52.0243,52.961,48.7576,50.0339,50.0339,53.0027
27,50.0324,52.6983,51.4351,48.5361,48.9942,50.7531,51.8543,53.1777,49.7733,50.7853,50.2286,53.1209
28,49.9375,52.1971,51.5753,48.2423,49.2476,50.4428,52.1357,52.536,49.9688,51.3889,50.5994,52.9799
29,50.151,52.4287,52.3157,48.2706,49.364,50.0612,52.3086,51.9382,49.8187,51.3431,51.036,53.2464
30,50.2627,52.6146,52.7123,48.4448,48.9736,50.5027,52.2314,52.1968,49.5906,50.9445,50.5893,53.1709
31,50.3394,53.1001,52.6286,47.9534,49.1477,50.4579,51.9909,52.4404,49.8015,50.8005,50.5137,52.8994
32,50.4663,53.0353,52.2992,47.5469,49.7245,50.333,51.9029,52.7763,49.8075,50.8597,50.2767,52.6997
33,50.0799,52.9979,52.0441,48.0759,49.2517,51.1578,52.0332,52.8549,49.92,51.077,50.457,52.7258
34,50.1811,52.7561,52.3785,47.7922,49.0385,50.9937,51.9491,52.4365,49.8185,50.6541,50.4956,52.1299
35,50.0503,53.1598,52.2104,47.8799,48.8872,51.1941,51.5917,52.6475,49.5457,50.4575,50.4057,52.524
36,50.3914,53.002,52.001,48.723,48.8435,50.8902,51.5479,52.4534,49.3861,50.4451,50.5424,52.2828
37,50.667,53.116,51.443,48.5885,49.0661,51.2037,51.484,52.3389,49.0191,50.5772,50.048,52.3456
38,50.7193,53.0812,51.4058,48.6713,49.2537,51.0084,51.1894,52.1163,49.2075,51.007,50.0234,52.0308
39,50.8145,53.4789,52.0338,48.7273,49.2266,50.6176,51.3188,52.2902,49.1132,51.3458,49.9772,51.8207
40,50.8392,53.7966,51.8708,49.4462,49.0457,50.625,51.4191,52.0363,48.98,51.0018,49.8887,51.6659
41,50.625,53.381,51.7601,49.5242,49.0905,50.8715,51.2771,52.204,49.0697,50.8478,49.8914,52.0607
42,51.0938,53.7241,51.8471,49.1124,49.1536,50.8085,51.1628,52.5116,48.7109,50.8705,50.4241,51.928
43,51.1107,53.5803,51.6805,48.7608,49.3797,51.0191,50.6824,52.3515,48.7614,50.8929,50.4973,52.237
44,51.2872,53.8041,51.7227,48.8288,49.3735,51.1789,50.7885,52.6825,48.7475,50.5686,50.4459,52.047
45,51.3971,53.6054,51.8827,48.6171,49.4264,51.3315,50.7714,52.8774,48.2813,50.4966,50.5749,52.0222
46,51.6558,53.4496,51.7642,48.3952,49.2067,51.4586,51.1421,52.5849,48.2212,50.4664,50.5627,51.8828
47,51.6032,53.208,51.5376,48.3914,49.0716,51.4095,51.2694,52.5104,48.4854,50.3995,50.5701,51.8054
48,51.7184,52.8263,51.4689,48.2944,49.0163,51.7164,51.3358,52.5333,48.3865,50.3354,50.5769,51.7684
49,51.8284,52.6431,51.1484,48.2727,48.8182,51.6277,51.1455,52.192,48.6374,50.3104,50.4375,51.7525
50,51.8643,52.4294,50.9296,48.6983,48.717,51.7928,50.82,51.973,48.576,50.179,50.3753,51.6989
51,51.446,52.2425,50.8938,48.2155,49.021,51.6174,50.5247,52.1444,48.1837,50.158,50.2804,51.2987
52,51.4525,51.8054,50.7219,48.1793,49.2801,51.1564,50.3089,52.6001,48.1653,50.3101,50.2235,51.4291
53,51.1909,52.0918,50.8097,48.1968,49.4278,50.6438,49.899,53.0547,48.2666,49.9831,50.2701,51.4532
54,50.9888,52.284,51.3245,48.3951,49.2402,50.7152,49.8677,52.9829,48.7607,49.9502,50.2984,51.5926
55,50.842,52.2594,51.7724,48.4888,49.221,50.5884,49.9675,53.3172,48.6851,50.2445,50.3582,51.5156
56,50.9224,52.2197,51.9483,48.6271,49.1069,50.8992,49.8724,53.1469,48.6762,50.0961,49.84,51.1691
57,51.109,52.4026,52.0546,48.5889,49.2481,50.7416,50.0,53.1387,48.9345,50.0629,49.9214,51.2276
58,50.9828,51.945,52.1116,48.6586,49.0917,50.7446,49.7843,53.2555,49.1525,50.3555,50.0464,51.4074
59,51.0266,52.0334,52.1522,48.9848,49.2124,50.8084,49.8031,53.0193,49.1662,50.8505,49.8328,51.8851
60,51.1138,51.8054,52.4008,49.0608,49.1806,50.7951,49.4635,52.8949,49.4039,50.6573,49.7757,52.1674
61,51.2416,51.7044,52.1567,49.1645,49.194,50.9888,49.56,52.6731,49.4723,50.6463,49.5588,52.0294
62,51.2507,51.7062,52.0225,49.1486,49.2357,50.6682,49.7691,52.6006,49.8125,50.4624,49.4356,52.2431
63,50.9901,51.4944,51.7923,49.2478,49.2048,50.5435,49.7159,52.3897,49.787,50.5262,49.245,52.2216
64,50.6826,51.443,51.6816,49.4132,49.3986,50.2534,49.6083,52.4095,50.014,50.6861,49.2001,52.0757
65,50.6178,51.3379,51.5591,49.4635,49.3667,50.2358,49.6007,52.1268,50.1652,50.786,49.2533,52.1955
66,50.6357,51.2099,51.5493,49.4848,49.2946,49.7813,49.6065,52.3919,50.2983,51.0323,49.2781,52.1355
67,50.5596,51.1787,51.6609,49.6661,49.3184,49.7037,49.6124,52.2237,50.3207,51.1105,49.4096,52.1314
68,50.4727,50.8978,51.6763,49.8026,49.1967,49.8009,49.6051,52.1785,50.3292,51.0414,49.3919,52.3916
69,50.3624,50.7674,51.8345,49.7924,49.0921,49.542,49.8313,52.238,50.3634,50.8836,49.4007,52.4238
70,50.4211,50.6797,51.8476,50.0256,49.2329,49.4837,49.8849,52.2716,50.064,50.9096,49.4092,52.6465
71,50.5665,50.6576,51.7961,49.9748,49.1551,49.4148,49.8739,52.4289,50.0252,50.8719,49.5442,52.4576
72,50.5214,50.761,51.4475,50.2613,49.1789,49.4479,49.7761,52.4324,49.9253,50.5984,49.5628,52.8104
73,50.3674,50.6772,51.5144,50.27,48.9197,49.245,49.8527,52.5955,49.8649,50.5411,49.5809,52.6621
74,50.3625,50.7894,51.5914,50.4602,48.7279,49.4503,49.5761,52.814,49.4908,50.4851,49.4649,52.6501
75,50.3934,50.7549,51.4262,50.2988,48.7569,49.3611,49.749,52.836,49.4496,50.5506,49.7359,52.7724
76,50.4941,50.8398,51.4908,50.4363,48.8317,49.429,49.8231,52.7882,49.4804,50.8977,49.8816,52.7133
77,50.5575,50.6422,51.5884,50.2909,48.8234,49.3775,49.8952,52.6726,49.5688,50.6768,50.0234,52.8772
78,50.4243,50.4727,51.845,50.2299,48.8153,49.4316,49.839,52.7536,49.7814,50.6799,50.0346,52.9453
79,50.7812,50.4783,51.8215,50.2271,48.7622,49.393,50.0113,52.5493,49.7046,50.7393,50.1596,52.9774
